Title,Normal Price,Sale Price,Savings,Deal Rating,Deal Link
Grotesque Tactics: Evil Heroes,9.99,0.99,90.090090,8.5,https://www.cheapshark.com/redirect?dealID=di8Rqg%2Fq9iuf3Sf0IUCgsL%2BIaQbFhTF4nQN%2Fzxr2JPc%3D
Silver Chains,24.99,1.24,95.038015,8.5,https://www.cheapshark.com/redirect?dealID=2DH3yghvj2O9prMuossUmUhRwHxuupq96o%2Ba1zk8eqM%3D
Lara Croft and the Guardian of Light,9.99,1.49,85.085085,8.5,https://www.cheapshark.com/redirect?dealID=T51u9WVOmHHnOMf5%2B5rneO0MopDsUPrUa5nrFVFAoMM%3D
Vambrace: Cold Soul,24.99,1.99,92.036815,8.4,https://www.cheapshark.com/redirect?dealID=G426jFzuqtCspCA6uAZkBPqq8EJHlhk%2FCGT1aYgiaNo%3D
The Suicide of Rachel Foster,17.99,1.79,90.050028,8.4,https://www.cheapshark.com/redirect?dealID=hd3nyL8OPS3crjl4gzPmcyINXHjHR7zdJNZSdjf8B9Q%3D
Starpoint Gemini Warlords,34.99,5.24,85.024293,8.4,https://www.cheapshark.com/redirect?dealID=hkouNMLI00Zj8XxUlevweNaIqNDNmWJv9EaLC%2FaW6mI%3D
Star Control: Origins,29.99,2.99,90.030010,8.4,https://www.cheapshark.com/redirect?dealID=JO8Y5AjJxfNzH2pyLpUPQuiDX2GjCYjRYfDLFG6YK50%3D
Rock of Ages 3: Make and Break,29.99,4.49,85.028343,8.4,https://www.cheapshark.com/redirect?dealID=DdNhIw2eW%2BZBeJ4jYw7tf064saeS7Uv26l9RGFXNP1s%3D
Nexus - The Jupiter Incident,9.99,1.99,80.080080,8.4,https://www.cheapshark.com/redirect?dealID=kwlM7pvAdQf0FSVy9FSdYM8EkkH8QKF1fYuJ0utpN6g%3D
SteamWorld Heist,14.99,1.49,90.060040,8.3,https://www.cheapshark.com/redirect?dealID=7v8eMWiU1mHorPOUtLlAi91DMIWhCoquw7wSDBg%2FzkI%3D
Everreach: Project Eden,24.99,1.24,95.038015,8.3,https://www.cheapshark.com/redirect?dealID=Fv9Jp2QF8mIIotwsvk6CWXMfMiQvBdacxShSESkh0P4%3D
GIGA WRECKER,19.99,1.19,94.047024,8.3,https://www.cheapshark.com/redirect?dealID=htLywXd94TwMCzvdRXsTxPNjEu1%2BUE%2FC6DKlvaAR1uw%3D
Flipping Death,19.99,1.19,94.047024,8.3,https://www.cheapshark.com/redirect?dealID=dx2BJM9Bdlh0Kzf9owxlOJgfH4L6yeU%2F0%2ByY1bQzBEs%3D
Giana Sisters: Twisted Dreams,14.99,2.99,80.053369,8.3,https://www.cheapshark.com/redirect?dealID=0EL6dzUFGBKUuXJfy5mqFgJzs7%2BLqUO6ssM9Bjd11Zk%3D
Guacamelee! 2,19.99,4.99,75.037519,8.3,https://www.cheapshark.com/redirect?dealID=ouNrvMnZx%2FaGAwVjVpfWy%2F2aOwZ8RtWC9IetBcC0b7Y%3D
Detective Di: The Silk Rose Murders,10.99,2.52,77.070064,8.3,https://www.cheapshark.com/redirect?dealID=ErHNQWJoNK2xi25YpOFMb7A87KrNryAeAn9j8RJ9fKI%3D
Assassins Creed Origins,59.99,8.99,85.014169,8.3,https://www.cheapshark.com/redirect?dealID=Xseq2XZs5sP%2BATR28J3Bpv2BPe%2BIWvMy3yCk03ABFgo%3D
Extinction,39.99,3.99,90.022506,8.3,https://www.cheapshark.com/redirect?dealID=rzvICtEHlF%2F00pEJtLwFkSlswiKZVJT%2FT8MXtzi63Yg%3D
ibb and obb,11.99,2.39,80.066722,8.3,https://www.cheapshark.com/redirect?dealID=wyJUWp%2BTPy4PkJkRAlSbs%2FkLUpyhBz9xIdNuqWmzW6w%3D
The Sojourn,24.99,4.99,80.032013,8.3,https://www.cheapshark.com/redirect?dealID=MnZR9zhH9w2xcvFtSWSA6UT9s7qZNLA1d6g4AHXLFPg%3D
Syberia 3,14.99,1.49,90.060040,8.2,https://www.cheapshark.com/redirect?dealID=rTXfcPXPpIQ6dMuUvugLxSRlEoU9Nz5OmxMqNmeO3ng%3D
Fury Unleashed,19.99,1.99,90.045023,8.2,https://www.cheapshark.com/redirect?dealID=zgKPO0K0tU4PNWWCa%2BcMUDK1j6FnXB5G07rtN2WxUS8%3D
Time on Frog Island,36.98,7.02,81.016766,8.2,https://www.cheapshark.com/redirect?dealID=17CjSI1jLtUfpGg4rVpZrHFsfjZypa8MN%2BSJim4%2FG%2Fs%3D
Onikira: Demon Killer,13.99,1.39,90.064332,8.2,https://www.cheapshark.com/redirect?dealID=Kz8CRBCwXzgWwY0I3usbeHe6QuvGYH1PCP6ZnjK7Wes%3D
The King's Bird,27.98,2.78,90.064332,8.2,https://www.cheapshark.com/redirect?dealID=kd18QFfbsha1kWVPGCn5r06DK1%2B5GbH8YWB5Q9wbSFw%3D
SteamWorld Dig 2,19.99,2.99,85.042521,8.2,https://www.cheapshark.com/redirect?dealID=4Qck4RHBfza55qmx04vbr3QeQKr8Jc322pFaUbKOQpg%3D
Field of Glory II,29.99,7.49,75.025008,8.2,https://www.cheapshark.com/redirect?dealID=Q0CdrPMsKtQG5Hkygj14JiBvKG8aNL56sVPi5FdV18Y%3D
